user_id,original_image,face_id,age
30601258@N03,10399646885_67c7d20df9_o.jpg,1,(25 - 36)
30601258@N03,10424815813_e94629b1ec_o.jpg,2,(25 - 36)
30601258@N03,10437979845_5985be4b26_o.jpg,1,(25 - 36)
30601258@N03,10437979845_5985be4b26_o.jpg,3,(25 - 36)
30601258@N03,11816644924_075c3d8d59_o.jpg,2,(25 - 36)
30601258@N03,11562582716_dbc2eb8002_o.jpg,1,(25 - 36)
30601258@N03,10424595844_1009c687e4_o.jpg,4,(38 - 48)
30601258@N03,9506931745_796300ca4a_o.jpg,5,(25 - 36)
30601258@N03,10190308156_5c748ab2da_o.jpg,5,(25 - 36)
30601258@N03,10190308156_5c748ab2da_o.jpg,2,(25 - 36)
30601258@N03,11624488765_9db0b93c94_o.jpg,2,(25 - 36)
30601258@N03,10204739113_0e2ae11708_o.jpg,6,(25 - 36)
30601258@N03,10204739113_0e2ae11708_o.jpg,1,(25 - 36)
30601258@N03,11518638385_cac7193c86_o.jpg,2,(25 - 36)
30601258@N03,11341941104_2bcd4b99e0_o.jpg,1,(25 - 36)
30601258@N03,11431644464_5510e0b7e9_o.jpg,2,(25 - 36)
30601258@N03,11562657036_5fe2235bed_o.jpg,5,(25 - 36)
30601258@N03,11438175534_c13ee0375c_o.jpg,2,(25 - 36)
30601258@N03,11438175534_c13ee0375c_o.jpg,1,(25 - 36)
30601258@N03,10571000386_90e4070c7c_o.jpg,2,(25 - 36)
30601258@N03,10491630366_5cc645056d_o.jpg,4,(38 - 48)
30601258@N03,10438007716_1fc791bce6_o.jpg,1,(25 - 36)
30601258@N03,9731074481_5821415708_o.jpg,2,(25 - 36)
30601258@N03,11097047226_42eb0e0a1f_o.jpg,2,(25 - 36)
30601258@N03,11167478633_afa18032b6_o.jpg,2,(25 - 36)
30601258@N03,10438008125_7d673b3b16_o.jpg,2,(25 - 36)
30601258@N03,9350503632_d1c0024287_o.jpg,7,(25 - 36)
30601258@N03,10491533864_593b5074e9_o.jpg,2,(25 - 36)
30601258@N03,11518770375_202acaf0c0_o.jpg,2,(25 - 36)
